starttime	seconds	ctime	dtime	ttime	wait
Thu Sep 03 10:37:41 2015	1441265861	1001	2	1003	2
Thu Sep 03 10:37:41 2015	1441265861	1001	2	1003	2
Thu Sep 03 10:37:41 2015	1441265861	1001	3	1003	3
Thu Sep 03 10:37:41 2015	1441265861	1001	2	1003	2
Thu Sep 03 10:37:41 2015	1441265861	1001	2	1003	2
Thu Sep 03 10:36:31 2015	1441265791	1001	2	1003	2
Thu Sep 03 10:37:41 2015	1441265861	1001	2	1003	2
Thu Sep 03 10:36:31 2015	1441265791	1001	3	1003	3
Thu Sep 03 10:32:46 2015	1441265566	1002	2	1004	2
Thu Sep 03 10:32:46 2015	1441265566	1001	3	1004	3
